RANK,CHEMICAL,TOTAL_RELEASES,N_FACILITIES,N_YEARS_REPORTED,CARCINOGEN,PBT,PFAS,CLASSIFICATION
232,Tribenuron-methyl,91.024,1,11,NO,NO,NO,TRI
233,Bromoxynil,85.58,2,8,NO,NO,NO,TRI
234,Carbaryl,83.5,1,10,NO,NO,NO,TRI
235,Sodium dimethyldithiocarbamate,76.621,5,15,NO,NO,NO,TRI
236,Diallate,75.0,1,10,NO,NO,NO,TRI
237,"2,4-Dichlorophenol",72.0,1,10,NO,NO,NO,TRI
238,Carbon tetrachloride,69.04,1,11,YES,NO,NO,TRI
239,"1,1,2,2-Tetrachloroethane",67.0,1,10,YES,NO,NO,TRI
240,"4,4'-Methylenebis(2-chloroaniline)",65.0,3,15,YES,NO,NO,TRI
241,3-Chloropropionitrile,65.0,1,10,NO,NO,NO,TRI
242,Chlorsulfuron,59.556,1,13,NO,NO,NO,TRI
243,"1,1,1,2-Tetrachloroethane",57.0,1,10,YES,NO,NO,TRI
244,Furan,47.0,1,9,YES,NO,NO,TRI
245,Aldrin,45.54,1,15,NO,YES,NO,PBT
246,p-Xylene,45.0,1,7,NO,NO,NO,TRI
247,"2,6-Xylidine",43.0,1,1,YES,NO,NO,TRI
248,Decabromodiphenyl oxide,40.0,3,9,NO,NO,NO,TRI
249,Thiodicarb,39.18,1,8,NO,NO,NO,TRI
250,Chlordane,37.42,1,13,YES,YES,NO,PBT
251,Perfluorobutane sulfonic acid,34.81,1,2,NO,NO,YES,TRI
252,Pentachlorobenzene,32.903,2,14,NO,YES,NO,PBT
253,Diazinon,31.21,1,10,YES,NO,NO,TRI
254,Propoxur,28.9,1,3,NO,NO,NO,TRI
255,Dimethoate,25.0,1,2,NO,NO,NO,TRI
256,Pendimethalin,24.8,1,15,NO,YES,NO,PBT
257,Methoxychlor,21.13,1,15,NO,YES,NO,PBT
258,Methyl hydrazine,21.0,1,3,NO,NO,NO,TRI
259,Propiconazole,20.42,2,13,NO,NO,NO,TRI
260,Heptachlor,20.33,1,15,YES,YES,NO,PBT
261,Lindane,20.3,1,4,YES,NO,NO,TRI
262,Warfarin and salts,20.0,1,2,NO,NO,NO,TRI
263,Monochloropentafluoroethane (CFC-115),15.0,1,13,NO,NO,NO,TRI
264,Dichlorobenzene (mixed isomers),15.0,1,4,YES,NO,NO,TRI
265,"Ethylenebisdithiocarbamic acid, salts and esters",13.0,1,2,NO,NO,NO,TRI
266,Amitraz,13.0,1,1,NO,NO,NO,TRI
267,"2,4-Dinitrotoluene",12.0,3,12,YES,NO,NO,TRI
268,Zineb,12.0,1,1,NO,NO,NO,TRI
