1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2020,60103FLXNC300ED,110000430597,SENIOR FLEXONICS,300 E DEVON AVE,BARTLETT,COOK,IL,60103,,,41.987690,-88.180248,,SENIOR US HOLDINGS INC,NA,SENIOR OPERATIONS LLC,NA,,SENIOR PLC,NO,332,Fabricated Metals,,,,,,,332999,,,,,,1320219393345,Nickel,NO,0007440020,7440-02-0,149674,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,422.000,0.000,433.000,0.000,41309.000,0.000,0.000,0.000,41309.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,41742.000,433.000,0.000,0.000,0.000,4.180,428.820,0.000,0.000,0.000,41309.000,0.000,0.000,41742.000,,ACTIVITY,0.850
2020,60426NVRTF16435,110000494590,ENVIRITE OF ILLINOIS INC,16435 S CENTER AVE,HARVEY,COOK,IL,60426,,,41.590575,-87.646093,,REPUBLIC SERVICES INC,026363899,REPUBLIC SERVICES INC,NA,,NA,NO,562,Hazardous Waste,,,,,,,562211,,,,,,1320219371135,Aluminum (fume or dust),NO,0007429905,7429-90-5,149476,NO,TRI,NO,Metals with qualifiers,NO,NO,NO,R,Pounds,0.229,0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18934.000,0.000,0.000,0.000,0.000,0.000,0.000,18934.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18934.000,18934.540,0.000,0.000,0.540,18934.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18934.540,,ACTIVITY,0.880
2020,60434MBLJLINTER,110000595339,EXXONMOBIL OIL CORP JOLIET REFINERY,25915 S FRONTAGE RD,CHANNAHON,WILL,IL,60410,,,41.410114,-88.192971,,EXXON MOBIL CORP,001213214,EXXON MOBIL CORP,NA,,NA,NO,324,Petroleum,,,,,,,324110,,,,,,1320219419431,Dioxin and dioxin-like compounds,NO,N150,N150,755371,YES,Dioxin,NO,Non_Metal,YES,YES,NO,R,Grams,0.075,0.681,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.768,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.768,0.000,0.000,0.768,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.768,,PRODUCTION,1.100
2020,60090SNNYS225CA,110000430310,SUNNYSIDE CORP,225 CARPENTER AVE,WHEELING,COOK,IL,60090,,,42.130250,-87.922780,,NA,,NA,NA,,NA,NO,325,Chemicals,,,,,,,325510,,,,,,1320218668679,Methanol,NO,0000067561,67-56-1,4283,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,835.000,579.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1414.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1414.000,0.000,0.000,1414.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1414.000,,PRODUCTION,0.760
2020,60480SHLND8500S,110000433282,UNIVAR SOLUTIONS USA,8500 WILLOW SPRINGS RD,WILLOW SPRINGS,COOK,IL,60480,,,41.731914,-87.877173,,UNIVAR SOLUTIONS LLC,102971785,UNIVAR SOLUTIONS USA INC,NA,,NA,NO,4246,Chemical Wholesalers,,,,,,,424690,,,,,,1320219399767,Ethylbenzene,NO,0000100414,100-41-4,19406,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,250.000,250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,500.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,500.000,0.000,0.000,500.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,500.000,,PRODUCTION,1.000
2020,61846CLNDSMAPLE,110056958430,DYNACHEM INC,MAPLE GROVE RD,GEORGETOWN,VERMILION,IL,61846,,,39.968514,-87.637938,,NA,,NA,NA,,NA,NO,325,Chemicals,,,,,,,325211,325199,,,,,1320219391430,Methanol,NO,0000067561,67-56-1,4283,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,330.000,56.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,386.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,386.000,0.000,0.000,386.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,386.000,,PRODUCTION,1.010
2020,62525CTRPL27THP,110043796158,CATERPILLAR INC. DECATUR FAC.,27TH ST & E. PERSHING RD,DECATUR,MACON,IL,62526,,,39.877810,-88.917457,,CATERPILLAR INC,005070479,CATERPILLAR INC,NA,,NA,NO,333,Machinery,,,,,,,333120,,,,,,1320219039993,Ethylene glycol,NO,0000107211,107-21-1,24257,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.700,54.200,58.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.700,44392.000,0.000,0.000,0.000,0.000,44392.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,54.200,0.000,44450.900,4.700,0.000,0.000,0.000,0.000,4.700,0.000,0.000,0.000,44392.000,936.000,54.200,45386.900,,PRODUCTION,0.790
2020,6205WMDLND27128,110069278668,A STUCKI CO D/B/A AMERICAN INDUSTRIES,27128 CRYSTAL LAKE RD,JERSEYVILLE,JERSEY,IL,62052,,,39.086838,-90.293583,,A STUCKI INTERMEDIATE HOLDINGS LLC,152821427,A STUCKI INTERMEDIATE HOLDINGS LLC,NA,,NA,NO,336,Transportation Equipment,,,,,,,336510,,,,,,1320218920650,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.610,0.000,0.000,0.000,0.000,0.000,0.000,2.610,0.000,0.000,325.050,0.000,0.000,325.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,327.660,2.610,0.000,0.000,0.000,2.610,0.000,0.000,0.000,0.000,325.050,0.000,0.000,327.660,,PRODUCTION,0.490
2020,60007PRFNS2300E,110000429019,MATERIAL SCIENCES CORP,2300 E PRATT BLVD,ELK GROVE VILLAGE,COOK,IL,60007,,,41.998542,-87.946237,,MATERIAL SCIENCES CORP,NA,NEW STAR METALS INC,NA,,NA,NO,332,Fabricated Metals,,,,,,,332812,,,,,,1320218934519,Methyl isobutyl ketone,NO,0000108101,108-10-1,24851,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,0.000,1554.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1554.000,0.000,0.000,0.000,404.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,404.000,731.000,0.000,0.000,0.000,0.000,731.000,15507.000,3559.000,19066.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20201.000,1958.000,0.000,0.000,1554.000,0.000,404.000,19789.000,19066.000,0.000,731.000,0.000,0.000,41544.000,,PRODUCTION,1.100
2020,6090WCMCST775EA,110063281862,CMC STEEL FABRICATORS INC DBA CMC PAVING SOLUTIONS,775 EASTGATE INDUSTRIAL PKWY,KANKAKEE,KANKAKEE,IL,60901,,,41.130317,-87.831188,,COMMERCIAL METALS CO,007925845,COMMERCIAL METALS CO,NA,,NA,NO,332,Fabricated Metals,,,,,,,332312,,,,,,1320218779546,Nickel compounds,NO,N495,N495,650036,YES,TRI,YES,Metal complound categories,YES,NO,NO,A,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000
2020,61801SFTYK500WA,110000612739,SAFETY-KLEEN SYSTEMS URBANA (URB),500 W ANTHONY DR,URBANA,CHAMPAIGN,IL,61802,,,40.135338,-88.203506,,CLEAN HARBORS INC,157793639,CLEAN HARBORS INC,NA,,NA,NO,562,Hazardous Waste,,,,,,,562112,484230,484220,,,,1320218892762,Polycyclic aromatic compounds,NO,N590,N590,649749,YES,PBT,NO,Non_Metal,YES,YES,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2245.300,0.000,0.000,2245.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2245.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2245.300,0.000,0.000,2245.300,,ACTIVITY,0.910
2020,60411PCCHM400E1,110000432390,PICO CHEMICAL CORP,400 E 16TH ST,CHICAGO HEIGHTS,COOK,IL,60411,,,41.502488,-87.616054,,NA,,NA,NA,,NA,NO,325,Chemicals,,,,,,,325998,,,,,,1320218630604,N-Methyl-2-pyrrolidone,NO,0000872504,872-50-4,72744,NO,TRI,NO,Non_Metal,NO,NO,NO,A,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000
2020,60005MRTHN3231B,110000845845,MPLX TERMINALS LLC - MT PROSPECT IL TERMINAL,3231 BUSSE RD,ARLINGTON HEIGHTS,COOK,IL,60005,,,42.026915,-87.959817,,MARATHON PETROLEUM CORP,968393996,MARATHON PETROLEUM CORP,,,,NO,4247,Petroleum Bulk Terminals,,,,,,,424710,,,,,,1320219085091,Cyclohexane,NO,0000110827,110-82-7,27003,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,43.000,150.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,193.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,193.000,0.000,0.000,193.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,193.000,,PRODUCTION,0.750
2020,6016WNVRTC18N25,110018255485,ENVIRO TECH INTERNATIONAL INC.,1800 N 25TH AVE,MELROSE PARK,COOK,IL,60160,,,41.905936,-87.864455,,ENVIRO TECH INTERNATIONAL INC,801164625,ENVIRO TECH INTERNATIONAL INC,NA,,NA,NO,325,Chemicals,,,,,,,325998,,,,,,1320219224286,tert-Butyl alcohol,NO,0000075650,75-65-0,5751,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,250.000,250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,500.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,250.000,0.000,250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,250.000,750.000,0.000,0.000,500.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,600.000,,PRODUCTION,0.030
